Beat Strength,Zero Crossing Rate,Note Density,Chroma Features,Pitch Class Distribution,Harmonic-to-Noise Ratio,Pitch Variation,Spectral Centroid,Spectral Bandwidth,Spectral Contrast,RMS Energy,Dynamic Range,Crescendo Detection,Transient Strength,Silence Ratio,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,Score
1.184668343,0.120199529,4.183333333,0.370561212,0.494290194,5.35E-08,158.4318057,1655.50566,1737.203407,18.29288886,0.018766652,0.05474964,0.01638215,1.184668343,0.007093782,-312.7820617,101.5222275,-4.24338244,2.185526304,-1.700316032,-6.003566893,-3.830401785,-4.685271737,-2.898939243,-4.414800239,-4.185120928,-5.941589648,-3.776496777,26
1.122047735,0.120473601,3.910714286,0.34538365,0.473366971,-6.28E-06,180.7396405,1781.240585,1861.13655,17.68654179,0.030543155,0.092409862,0.027136162,1.122047735,0.057723437,-299.6115893,82.49555957,10.396341,4.015081021,-3.433632669,-3.394468359,-1.049071162,-4.766023336,0.290956166,-2.414224968,-2.296720193,-5.173118541,-3.947157144,27.45
1.236282288,0.10793021,4.205333333,0.402367932,0.465249996,-1.04E-06,127.7884931,1702.088788,1840.466273,17.74073072,0.049902643,0.131985747,0.038387193,1.236282288,0.000328167,-199.6820354,93.21993952,2.836741771,12.47880942,1.697444764,2.966811213,1.603909913,1.811248871,1.965868999,1.453429644,-0.470968939,-0.176363354,-0.443518828,27.5
1.164518772,0.196066284,3.804487179,0.413385984,0.463527878,-1.55E-06,159.2867186,2512.579989,2180.505605,17.48649193,0.061803722,0.193195764,0.04524622,1.164518772,0.000467208,-160.626379,54.18666712,-1.988342073,2.289869887,0.492230462,-1.014589814,-0.250273807,-1.197381168,1.264186146,1.098692112,-1.577925495,-2.123865507,-3.454970352,27.45
1.225881468,0.201819855,3.837346711,0.437509645,0.510312944,-3.10E-07,157.4884151,2379.712007,2044.790553,17.37920763,0.03849314,0.123737285,0.038264577,1.225881468,0.000547784,-185.67941,61.51981039,-5.943064864,8.84345125,-2.978450768,-2.667600537,-0.698742285,-1.727991656,0.060432417,0.00743685,-3.020063116,-2.552024412,-3.463798358,28.2
1.258842813,0.175112093,4.388271605,0.404793215,0.481222267,-2.85E-07,142.4755047,2221.913309,2053.548413,17.8313557,0.034900907,0.102088309,0.031689814,1.258842813,0.000509896,-201.7224258,68.96477242,1.431830458,9.757896183,0.978433805,0.380330431,-1.00912992,-2.110686638,0.013330456,0.096335657,-2.855305847,-3.066577551,-3.413250825,28.55
1.237644575,0.172530263,4.280288462,0.425305885,0.455032135,1.42E-06,146.1361783,2269.323735,2083.003271,17.55121115,0.03579937,0.113145823,0.031922272,1.237644575,0.000535927,-207.609143,66.91268146,3.177371304,9.8126448,2.844299493,2.012736867,0.37311646,0.486044924,1.689987615,-0.956911472,-3.215960153,-2.613672935,-2.263157501,29
1.115174995,0.073418736,3.907692308,0.354608607,0.365852218,-4.27E-07,99.49494809,1281.441665,1598.687496,18.06056356,0.048672661,0.135606808,0.039957083,1.115174995,0.048510497,-276.1590529,107.0817462,11.77403358,15.08325649,5.501281454,4.769637185,4.421378854,2.329020453,3.974066344,2.990436965,0.839593318,0.476790483,0.536510985,28.8
1.166479025,0.171735709,3.985858586,0.366219888,0.454162984,-8.51E-07,169.4245758,2135.88842,1995.274079,18.74991509,0.060217852,0.160979266,0.040792981,1.166479025,0.000344129,-165.767426,74.20058822,-1.270443273,2.27839735,-0.557959,-3.268511485,-3.26716782,-3.669733758,-2.580263153,-1.906276959,-3.647074068,-4.274991722,-3.828634336,29
1.232090322,0.188860002,4.356790123,0.445434137,0.544751324,4.87E-07,165.3074719,2297.710561,2037.813361,17.13700612,0.063238178,0.195692654,0.059094903,1.232090322,0.000322184,-137.5415701,65.82624678,-4.741108731,6.339772363,-1.813045991,0.061258946,-0.446698058,-1.80447281,0.65305176,0.107254244,-2.23325709,-3.507541411,-4.347289096,21.875
1.234220307,0.199570348,4.365551839,0.388867032,0.494732852,-7.32E-06,180.4080041,2467.212885,2141.684455,17.79983808,0.070093968,0.240443661,0.06025615,1.234220307,0.00035572,-150.2537457,62.69344474,-4.008950913,-2.320699333,-0.150440225,-6.228959474,-2.210574222,-5.191832883,-1.633844978,-3.064750535,-5.237838529,-6.796352887,-6.043248248,21.85
1.165493825,0.132484237,4.748106061,0.349096716,0.492215191,2.74E-07,144.3571448,1842.320879,1899.280097,17.9149772,0.022755482,0.07212801,0.021829989,1.165493825,0.010820028,-280.3458588,91.2605175,2.458897496,-1.913268806,-2.541659669,-7.643284829,-7.681878325,-9.337664792,-5.501392852,-6.922068948,-7.006496338,-6.013440179,-2.962311461,22.175
1.233405022,0.115032686,4.854487179,0.377573613,0.494847006,-2.25E-07,135.770821,1721.266018,1862.654968,18.08018266,0.038746771,0.10279645,0.035720302,1.233405022,0.001113582,-227.9122202,97.92487446,0.504600076,0.943968673,1.365940193,-4.9316347,-2.924258457,-4.447084691,-2.65400248,-3.629018521,-5.211154219,-5.913492715,-4.924197405,22.6
1.317146408,0.133461258,3.700986193,0.37456368,0.492699599,-1.21E-07,160.0731778,1834.347188,1834.305142,18.1552885,0.050364783,0.149955245,0.052200633,1.317146408,0.007533099,-181.5030515,88.52932738,-4.160393963,6.817474275,-2.304430529,-2.112955402,-1.782609327,-1.56867735,0.209650713,-2.083992457,-4.966990792,-6.197948808,-5.736835258,23.45
1.206566027,0.12962621,4.461538462,0.360338568,0.467031682,-1.09E-06,144.5253528,1761.218437,1807.823993,18.51571864,0.046957173,0.130007987,0.033981293,1.206566027,0.00174976,-204.5873727,93.73924965,-3.786316431,4.94067939,-1.550998122,-2.644840819,-2.585023602,-2.2295739,-2.210727513,-1.718492837,-4.154551892,-4.210598296,-4.37993654,23.75
1.214878628,0.175075047,4.55751634,0.417184871,0.486042885,-5.50E-08,137.3720781,2529.780899,2461.410948,17.64183033,0.062902899,0.162191169,0.049431888,1.214878628,0.004217856,-180.1519009,64.18163425,35.40060429,5.105657298,19.72279896,7.909536358,10.3968695,4.338447134,6.426376733,0.788906979,-0.727136398,-1.692979323,-1.361401726,24.55
1.238151873,0.127547311,5.011363636,0.399981625,0.514569138,-1.54E-06,99.52450339,1841.788155,1908.064395,17.88168197,0.083908166,0.217071602,0.062875224,1.238151873,0.000250284,-122.1608137,87.180533,0.65469039,12.4769591,0.668964154,-2.995138758,-3.396804509,-4.03781287,-1.830690081,-1.361869352,-4.483848943,-5.055478243,-6.243832995,23.35
1.21268425,0.11489973,4.26377551,0.366333134,0.473028815,-1.37E-06,124.5403027,1696.579311,1805.345122,18.51481577,0.076060185,0.206271369,0.063404187,1.21268425,0.000555176,-178.7770342,93.55141729,0.623008058,11.04499761,-3.653682969,-4.010145023,-6.880575068,-7.583488586,-5.560178725,-3.845374035,-8.50361765,-7.800678746,-6.747912079,25.25
1.119138861,0.124712749,3.998550725,0.384389834,0.4849691,-3.16E-06,142.9721878,1788.322745,1848.668158,17.73860673,0.076079071,0.172475562,0.045798611,1.119138861,0.028534783,-175.3505858,84.52149004,1.325597398,9.680402825,0.657680503,2.221460433,1.096732089,0.602116502,1.193849754,0.543180726,-2.337748891,-3.569987164,-3.134551633,24.925
1.180880218,0.111610554,4.255072464,0.360327536,0.469551873,-1.24E-06,96.02476483,1688.584269,1831.279386,18.41681308,0.07308798,0.200999129,0.05233301,1.180880218,0.000343357,-174.3580646,94.53533883,3.362389467,6.372114852,-3.613050236,-4.430240374,-5.775796067,-6.374601215,-2.717991444,-4.627571115,-5.734492662,-6.624332696,-5.804465502,24.475
